Paire 1;Paire 2;Nb arrets
3 mots ou plus;Dans Nantes;17
3 mots ou plus;Autre commune;6
3 mots ou plus;Nord Loire;14
3 mots ou plus;Sud Loire;4
3 mots ou plus;Moins de 1km du periph;5
3 mots ou plus;Moins de 2 km du periph;7
3 mots ou plus;Moins de 500m eau;9
3 mots ou plus;Moins de 1 km eau;12
3 mots ou plus;Moins de 1 km du chateau;4
3 mots ou plus;Moins de 2 km du chateau;7
3 mots ou plus;Moins de 1 km de la Tour Bretagne;2
3 mots ou plus;Moins de 2 km de la Tour Bretagne;9
3 mots ou plus;Moins de 1 km hippodrome;2
3 mots ou plus;Moins de 2 km hippodrome;4
3 mots ou plus;Moins de 1 km des machines;4
3 mots ou plus;Moins de 2 km des machines;10
3 mots ou plus;Moins de 1 km du stade de la Beaujoire;0
3 mots ou plus;Moins de 2 km du stade de la Beaujoire;0
3 mots ou plus;Moins de 1 km du parc de proce;1
3 mots ou plus;Moins de 2 km du parc de proce;2
Lettre doublee;Dans Nantes;22
Lettre doublee;Autre commune;5
Lettre doublee;Nord Loire;21
Lettre doublee;Sud Loire;4
Lettre doublee;Moins de 1km du periph;8
Lettre doublee;Moins de 2 km du periph;13
Lettre doublee;Moins de 500m eau;5
Lettre doublee;Moins de 1 km eau;13
Lettre doublee;Moins de 1 km du chateau;3
Lettre doublee;Moins de 2 km du chateau;7
Lettre doublee;Moins de 1 km de la Tour Bretagne;3
Lettre doublee;Moins de 2 km de la Tour Bretagne;8
Lettre doublee;Moins de 1 km hippodrome;4
Lettre doublee;Moins de 2 km hippodrome;4
Lettre doublee;Moins de 1 km des machines;1
Lettre doublee;Moins de 2 km des machines;8
Lettre doublee;Moins de 1 km du stade de la Beaujoire;1
Lettre doublee;Moins de 2 km du stade de la Beaujoire;1
Lettre doublee;Moins de 1 km du parc de proce;1
Lettre doublee;Moins de 2 km du parc de proce;3
Dans Nantes;Autre commune;0
Dans Nantes;Nord Loire;58
Dans Nantes;Sud Loire;7
Dans Nantes;Moins de 1km du periph;13
Dans Nantes;Moins de 2 km du periph;26
Dans Nantes;Moins de 500m eau;31
Dans Nantes;Moins de 1 km eau;50
Dans Nantes;Moins de 1 km du chateau;16
Dans Nantes;Moins de 2 km du chateau;40
Dans Nantes;Moins de 1 km de la Tour Bretagne;13
Dans Nantes;Moins de 2 km de la Tour Bretagne;38
Dans Nantes;Moins de 1 km hippodrome;6
Dans Nantes;Moins de 2 km hippodrome;11
Dans Nantes;Moins de 1 km des machines;9
Dans Nantes;Moins de 2 km des machines;30
Dans Nantes;Moins de 1 km du stade de la Beaujoire;4
Dans Nantes;Moins de 2 km du stade de la Beaujoire;5
Dans Nantes;Moins de 1 km du parc de proce;1
Dans Nantes;Moins de 2 km du parc de proce;14
Autre commune;Nord Loire;16
Autre commune;Sud Loire;13
Autre commune;Moins de 1km du periph;14
Autre commune;Moins de 2 km du periph;21
Autre commune;Moins de 500m eau;2
Autre commune;Moins de 1 km eau;5
Autre commune;Moins de 1 km du chateau;0
Autre commune;Moins de 2 km du chateau;0
Autre commune;Moins de 1 km de la Tour Bretagne;0
Autre commune;Moins de 2 km de la Tour Bretagne;0
Autre commune;Moins de 1 km hippodrome;0
Autre commune;Moins de 2 km hippodrome;1
Autre commune;Moins de 1 km des machines;0
Autre commune;Moins de 2 km des machines;2
Autre commune;Moins de 1 km du stade de la Beaujoire;0
Autre commune;Moins de 2 km du stade de la Beaujoire;1
Autre commune;Moins de 1 km du parc de proce;0
Autre commune;Moins de 2 km du parc de proce;1
Nord Loire;Sud Loire;0
Nord Loire;Moins de 1km du periph;23
Nord Loire;Moins de 2 km du periph;37
Nord Loire;Moins de 500m eau;12
Nord Loire;Moins de 1 km eau;27
Nord Loire;Moins de 1 km du chateau;16
Nord Loire;Moins de 2 km du chateau;25
Nord Loire;Moins de 1 km de la Tour Bretagne;13
Nord Loire;Moins de 2 km de la Tour Bretagne;27
Nord Loire;Moins de 1 km hippodrome;6
Nord Loire;Moins de 2 km hippodrome;12
Nord Loire;Moins de 1 km des machines;3
Nord Loire;Moins de 2 km des machines;17
Nord Loire;Moins de 1 km du stade de la Beaujoire;4
Nord Loire;Moins de 2 km du stade de la Beaujoire;6
Nord Loire;Moins de 1 km du parc de proce;1
Nord Loire;Moins de 2 km du parc de proce;15
Sud Loire;Moins de 1km du periph;4
Sud Loire;Moins de 2 km du periph;10
Sud Loire;Moins de 500m eau;4
Sud Loire;Moins de 1 km eau;11
Sud Loire;Moins de 1 km du chateau;0
Sud Loire;Moins de 2 km du chateau;0
Sud Loire;Moins de 1 km de la Tour Bretagne;0
Sud Loire;Moins de 2 km de la Tour Bretagne;0
Sud Loire;Moins de 1 km hippodrome;0
Sud Loire;Moins de 2 km hippodrome;0
Sud Loire;Moins de 1 km des machines;0
Sud Loire;Moins de 2 km des machines;3
